,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_decisiontreeregressor__max_depth,param_decisiontreeregressor__min_samples_leaf,param_decisiontreeregressor__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
43,0.0498898983001709,0.0029348290600978723,0.02458477020263672,0.0014391031385080396,6,4,4,"{'decisiontreeregressor__max_depth': 6, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 4}",-291.6936614220363,-492.31919184050474,-414.3338361509889,-366.1520934104134,-300.408316065597,-372.981419777908,74.66287018371466,11
44,0.04540185928344727,0.0029246428172293145,0.02500262260437012,0.0031027910202427412,6,4,8,"{'decisiontreeregressor__max_depth': 6, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 8}",-262.2485468166063,-447.5177498164653,-423.0263363774458,-390.6269942771114,-324.383777762116,-369.560681009949,67.7296348250072,6
45,0.05269575119018555,0.006220840197914847,0.020770263671875,0.004349363574607819,6,8,2,"{'decisiontreeregressor__max_depth': 6, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 2}",-273.7105824166675,-469.7205876471324,-391.21382039984786,-373.5745642613962,-305.9334005654549,-362.8305910580998,68.59472029984248,2
46,0.051438093185424805,0.00467163086924551,0.020093393325805665,0.0021739927869757697,6,8,4,"{'decisiontreeregressor__max_depth': 6, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 4}",-275.4412679496167,-493.80058737021386,-373.95573724983075,-351.91871217549937,-343.3824488488915,-367.69975071881044,71.12321472244079,4
47,0.0533022403717041,0.003913436492437195,0.018471479415893555,0.0014564133578434113,6,8,8,"{'decisiontreeregressor__max_depth': 6, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 8}",-282.93123550338623,-485.34372204036174,-364.2837333349633,-387.90796441062173,-314.5372248494434,-367.0007760277553,69.67016228520167,3
48,0.06254401206970214,0.0035311786130352942,0.021118593215942384,0.0020351016830484356,,1,2,"{'decisiontreeregressor__max_depth': None, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 2}",-347.50404270203586,-475.8630539924527,-502.1752444428638,-463.34705988527315,-399.1043158779467,-437.5987433801144,56.38463229992162,58
49,0.0593259334564209,0.005282307475211747,0.02221059799194336,0.002046637176693252,,1,4,"{'decisiontreeregressor__max_depth': None, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 4}",-314.05063750116113,-489.73358174537583,-501.1275941915955,-453.16864035179066,-401.59023544742394,-431.93413784746934,68.40568145866438,57
50,0.054976606369018556,0.0030170291349089955,0.022910547256469727,0.0014146538165273176,,1,8,"{'decisiontreeregressor__max_depth': None, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 8}",-292.8675061085679,-495.4546771549434,-456.157294635768,-428.49651119185233,-420.14033327336193,-418.6232644728987,68.15594274205655,48
51,0.0557976245880127,0.004238139320651127,0.02275714874267578,0.004406929074415162,,2,2,"{'decisiontreeregressor__max_depth': None, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 2}",-306.02668808974676,-443.6438730883302,-476.01684041305117,-448.38021867006813,-397.5897247194785,-414.33146899613496,59.7224095352338,42
52,0.05418052673339844,0.0019044136389730476,0.021201133728027344,0.0017529366953900314,,2,4,"{'decisiontreeregressor__max_depth': None, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 4}",-349.0803198203986,-436.60005378484044,-448.0196971949181,-379.3314198870714,-372.16805707730197,-397.0399095529061,38.461059940671724,29
53,0.05492424964904785,0.002009478431602356,0.020722579956054688,0.0024875003819775374,,2,8,"{'decisiontreeregressor__max_depth': None, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 8}",-308.64920621560395,-442.6697609352794,-454.67371632022065,-355.9964377436107,-329.29182115337403,-378.2561884736177,59.543067821806616,15
54,0.054282426834106445,0.0033758505620611976,0.02113051414489746,0.001387573692625396,,4,2,"{'decisiontreeregressor__max_depth': None, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 2}",-289.51301685160234,-485.8973613326194,-425.3238263473343,-379.7436785526171,-377.089351283844,-391.51344687360347,64.50137172704142,22
55,0.04948534965515137,0.0029328105995489887,0.02494368553161621,0.004402017360174323,,4,4,"{'decisiontreeregressor__max_depth': None, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 4}",-286.12532735318666,-470.6627698641339,-415.114539868922,-389.1849255868144,-339.2781345092661,-380.0731394364646,63.25793128831245,16
56,0.05198831558227539,0.0009807229986088625,0.020939731597900392,0.0024611771624576248,,4,8,"{'decisiontreeregressor__max_depth': None, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 8}",-303.1796496148053,-499.50726583898364,-424.56446648994597,-375.6393122338632,-372.2465180401089,-395.0274424435414,64.99131702538955,26
57,0.05120134353637695,0.003502698386831115,0.018647146224975587,0.0020995025679939236,,8,2,"{'decisiontreeregressor__max_depth': None, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 2}",-284.65584929852804,-488.7956447415886,-400.61562625681034,-355.7495501381579,-331.2810629913609,-372.2195466852892,69.29782869112844,9
58,0.0537053108215332,0.005035977458308575,0.02313857078552246,0.004681319876820206,,8,4,"{'decisiontreeregressor__max_depth': None, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 4}",-294.09969167481404,-478.84491209708875,-371.6981618263314,-339.9501323389106,-312.22688457211314,-359.3639565018516,65.24730761202348,1
59,0.052701473236083984,0.002381718088047073,0.022182416915893555,0.0010149320290230807,,8,8,"{'decisiontreeregressor__max_depth': None, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 8}",-283.7349168534986,-464.9466059106781,-387.2983388411499,-381.35310728167497,-325.092743657892,-368.4851425089787,61.46517033561064,5
